#OTU ID	SRR11796889	SRR11796890	SRR11796891	SRR11796892	SRR11796893	SRR11796894	SRR11796895	SRR11796896	SRR11796897	SRR11796898	SRR11796899	SRR11796900	SRR11796901	SRR11796902	SRR11796903	SRR11796904	SRR11796905	SRR11796906	SRR11796907	SRR11796908	SRR11796909	SRR11796910	SRR11796911	SRR11796912	SRR11796913	SRR11796914	SRR11796915	SRR11796916	SRR11796917	SRR11796918	SRR11796919	SRR11796920	SRR11796921	SRR11796922	SRR11796923	SRR11796924	SRR11796925	SRR11796926	SRR11796927	SRR11796928	SRR11796929	SRR11796930	SRR11796931	SRR11796932	SRR11796933	SRR11796934	SRR11796935	SRR11796936	SRR11796937	SRR11796938
Otu54	32	17	1	4	1	0	0	294	75	6	2	947	4	155	1	147	0	0	0	1	18	9	0	0	1	198	54	0	121	0	5	280	52	104	72	6	5	87	1	66	0	306	7	0	5	5	46	9	203	2
Otu151	36	23	44	5	5	743	224	4	3	4	0	5	22	0	11	297	0	0	1	0	8	11	1	0	36	18	0	10	3	4	0	325	35	1	1	317	162	3	0	6	0	28	0	0	91	136	88	25	2	0
Otu146	57	30	15	0	0	0	0	39	5	0	0	65	0	31	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	1	6	8	0	0	0	0	0	0	0	0	0	61	37	0	2	3	0
Otu285	55	23	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu269	34	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Otu46	297	118	88	0	9	1	1	286	58	4	0	1	0	1	2	0	0	0	0	0	0	0	0	0	17	1123	0	5	916	0	0	1	0	0	0	20	3	0	0	0	0	0	0	3	47	48	74	38	0	0
Otu423	1	0	1	0	0	0	0	0	0	3	5	1	2	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	6	1	0	0	4	1	0	4
Otu93	258	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	318	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu192	7	1	3	0	0	0	0	0	0	0	0	0	5	1	9	0	0	1	0	0	1	0	6	0	1	50	1	1	36	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	1	3	0	1	0
Otu62	30	11	46	13	6	135	13	12	4	8	42	0	2	3	0	2114	13	2	5	5	47	12	5	2	72	3	6	11	3	1	1	18	0	0	1	3	1	1	6	3	2	16	11	0	552	167	27	6	5	1
Otu240	219	131	0	0	0	0	0	19	5	0	0	5	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	16	0	0	0	0
Otu307	25	12	3	0	1	0	0	23	2	0	0	1	23	0	18	0	0	0	0	0	6	0	0	0	0	16	0	0	8	0	0	0	0	3	1	21	8	0	0	1	0	3	0	0	58	26	0	0	0	0
Otu108	231	54	43	0	2	7	3	0	0	0	0	0	3	0	3	0	0	0	0	1	41	9	0	0	180	6	0	32	12	0	0	0	0	0	0	26	6	0	0	1	0	6	0	0	71	46	0	0	1	0
Otu73	114	31	21	1	3	0	0	383	106	0	0	0	0	0	2	30	1	0	0	0	69	28	0	0	138	146	0	23	141	0	0	200	34	0	0	95	14	0	0	10	0	67	0	0	2	0	9	1	1	1
Otu397	4	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	0
Otu58	38	11	245	0	110	0	1	16	3	0	0	11	0	3	2	1	0	2	0	0	1	0	0	0	22	2	0	1	4	0	1	1	0	30	20	0	0	0	2591	1	450	0	2	1	11	6	2	0	0	0
Otu61	168	46	206	0	35	261	22	999	325	0	0	0	2	0	1	0	0	1	0	4	206	58	0	0	0	8	8	0	3	0	0	0	0	1	10	151	33	9	0	0	0	0	0	0	0	0	157	82	0	0
Otu212	179	46	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	5	0	8	0	0	0	1	0
Otu79	165	55	9	1	1	8	6	132	36	0	0	86	3	14	3	17	0	0	0	0	37	11	0	1	16	128	2	3	138	0	0	251	68	56	66	40	18	2	35	89	3	599	1	0	25	37	101	38	20	0
Otu135	24	7	0	0	0	0	0	59	9	0	0	0	2	0	0	1	0	0	0	0	34	12	5	3	0	118	0	0	73	0	0	81	25	0	0	4	3	0	0	8	0	28	0	0	82	30	27	17	0	0
Otu117	52	26	14	0	0	4	0	0	0	0	0	6	229	0	160	0	0	0	3	0	16	2	0	0	1	0	0	0	0	0	0	26	4	0	0	14	7	0	0	0	0	7	0	0	152	163	7	9	3	0
Otu242	33	12	1	0	1	0	0	0	0	0	0	0	35	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu273	49	30	0	0	0	0	0	15	5	0	0	23	4	6	6	0	0	0	0	0	29	8	2	0	7	25	1	2	28	0	1	24	4	1	0	53	14	0	0	3	0	15	0	0	0	0	8	3	3	0
Otu45	87	54	83	2	4	3	0	1609	549	1	0	0	969	0	355	370	0	1	0	0	362	128	3	0	62	196	569	5	214	1	0	851	166	4	42	218	51	614	0	49	0	130	1	3	203	300	400	83	27	4
Otu106	84	21	1	0	0	2	0	169	64	3	0	2	3	0	0	28	0	0	0	0	17	10	0	0	367	1	0	74	0	0	3	6	0	1	10	10	1	0	0	3	0	8	0	0	0	0	140	23	1	0
Otu224	24	6	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	29	0	6	14	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu55	89	53	49	1	6	280	80	699	183	1	1	0	388	0	174	1	0	0	1	0	329	124	7	0	8	4	0	2	0	0	2	287	16	1	0	359	110	0	0	3	0	14	1	0	198	178	555	205	0	0
Otu115	143	34	0	0	0	0	0	32	9	0	0	5	49	3	24	0	0	0	0	0	7	2	0	0	0	147	26	0	80	0	0	99	17	58	66	0	0	29	1	15	0	65	1	0	93	132	107	28	0	0
Otu264	85	41	0	0	0	0	0	13	6	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
